Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
953424,840PGCIL24,POWER GRID CORPORATION OF INDIA Ltd,Active,F ,1000000.00,INE752E07MQ8,Electric Utilities,Debentures and Bonds
953425,840PGCIL20A,POWER GRID CORPORATION OF INDIA Ltd,Active,F ,1000000.00,INE752E07MY2,Electric Utilities,Debentures and Bonds
953426,840PGCIL21A,POWER GRID CORPORATION OF INDIA Ltd,Active,F ,1000000.00,INE752E07MZ9,Electric Utilities,Debentures and Bonds
953427,840PGCIL25,POWER GRID CORPORATION OF INDIA Ltd,Active,F ,1000000.00,INE752E07MR6,Electric Utilities,Debentures and Bonds
953428,840PGCIL26,POWER GRID CORPORATION OF INDIA Ltd,Active,F ,1000000.00,INE752E07MS4,Electric Utilities,Debentures and Bonds
953429,840PGCIL22A,POWER GRID CORPORATION OF INDIA Ltd,Active,F ,1000000.00,INE752E07NA0,Electric Utilities,Debentures and Bonds
953430,840PGCIL23A,POWER GRID CORPORATION OF INDIA Ltd,Active,F ,1000000.00,INE752E07NB8,Electric Utilities,Debentures and Bonds
953431,840PGCIL27,POWER GRID CORPORATION OF INDIA Ltd,Active,F ,1000000.00,INE752E07MT2,Electric Utilities,Debentures and Bonds
953432,840PGCIL28,POWER GRID CORPORATION OF INDIA Ltd,Active,F ,1000000.00,INE752E07MU0,Electric Utilities,Debentures and Bonds
953433,840PGCIL24A,POWER GRID CORPORATION OF INDIA Ltd,Active,F ,1000000.00,INE752E07NC6,Electric Utilities,Debentures and Bonds
953434,840PGCIL29,POWER GRID CORPORATION OF INDIA Ltd,Active,F ,1000000.00,INE752E07MV8,Electric Utilities,Debentures and Bonds
953435,840PGCIL25A,POWER GRID CORPORATION OF INDIA Ltd,Active,F ,1000000.00,INE752E07ND4,Electric Utilities,Debentures and Bonds
953436,840PGCIL30,POWER GRID CORPORATION OF INDIA Ltd,Active,F ,1000000.00,INE752E07MW6,Electric Utilities,Debentures and Bonds
953437,840PGCIL26A,POWER GRID CORPORATION OF INDIA Ltd,Active,F ,1000000.00,INE752E07NE2,Electric Utilities,Debentures and Bonds
953438,840PGCIL29I,POWER GRID CORPORATION OF INDIA Ltd,Active,F ,1000000.00,INE752E07NH5,Electric Utilities,Debentures and Bonds
953439,840PGCIL27A,POWER GRID CORPORATION OF INDIA Ltd,Active,F ,1000000.00,INE752E07NF9,Electric Utilities,Debentures and Bonds
